plr_id,plr_name,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,svb_vollzeit,median_gross_income,median_rent,cases,average_rent,median_net_income,is_affordable_avg_person,is_affordable_buergergeld,rent_burden_avg_person,rent_burden_buergergeld,population,gap_rent_avg_person,gap_rent_buergergeld
1100101,Stülerstraße,1,Mitte,110,Zentrum,11001,Tiergarten Süd,866,4721.0,9.02,50,9.75,3446.33,True,False,0.2195715676728335,0.4587995930824008,3680,138.85964799999996,-3.122
1100102,Großer Tiergarten,1,Mitte,110,Zentrum,11001,Tiergarten Süd,619,6279.0,13.2,141,12.26,4583.67,True,False,0.3213242453748783,0.671414038657172,2040,134.679648,-7.302
1100103,Lützowstraße,1,Mitte,110,Zentrum,11001,Tiergarten Süd,1250,4895.0,8.5,57,8.41,3573.35,True,False,0.20691333982473223,0.4323499491353001,5720,139.37964799999997,-2.6020000000000003
1100104,Körnerstraße,1,Mitte,110,Zentrum,11001,Tiergarten Süd,1126,5062.0,10.5,37,10.24,3695.26,True,False,0.2555988315481986,0.5340793489318413,4997,137.37964799999997,-4.602
1100205,Wilhelmstraße,1,Mitte,110,Zentrum,11002,Regierungsviertel,828,5384.0,14.0,65,13.45,3930.32,True,False,0.34079844206426485,0.7121057985757884,2960,133.87964799999997,-8.102
1100206,Unter den Linden,1,Mitte,110,Zentrum,11002,Regierungsviertel,570,5076.0,14.59,105,14.25,3705.48,True,False,0.35516066212268743,0.742115971515768,1916,133.28964799999997,-8.692
1100207,Leipziger Straße,1,Mitte,110,Zentrum,11002,Regierungsviertel,2848,5093.0,12.73,128,12.18,3717.89,True,False,0.30988315481986367,0.6475076297049848,8806,135.14964799999998,-6.832000000000001
1100308,Charitéviertel,1,Mitte,110,Zentrum,11003,Alexanderplatz,2446,6097.0,12.0,347,12.22,4450.81,True,False,0.2921129503407984,0.6103763987792472,7446,135.87964799999997,-6.102
1100309,Oranienburger Straße,1,Mitte,110,Zentrum,11003,Alexanderplatz,3359,5389.0,12.08,258,11.92,3933.97,True,False,0.2940603700097371,0.6144455747711088,12575,135.79964799999996,-6.182
1100310,Alexanderplatz-viertel,1,Mitte,110,Zentrum,11003,Alexanderplatz,2877,4816.0,12.29,187,12.07,3515.68,True,False,0.2991723466407011,0.6251271617497457,10190,135.58964799999998,-6.3919999999999995
