year,total,avg_household_size,1_person,2_person,3_person,4_or_more
2013,1932500,1.8,1046200,544600,186500,155100
2014,1963200,1.8,1057700,557600,186700,161100
2015,1998300,1.8,1089300,562800,185000,161100
2016,1964300,1.8,1016500,574500,197800,175500
2017,2002900,1.8,1049100,578700,193700,181400
2018,2026300,1.8,1072400,569600,199200,185000
2019,2033700,1.8,1075800,566000,205900,186000
2020,1986800,1.8,999400,587900,211400,188100
2021,2008600,1.8,1055800,552100,202100,198600
2022,1983000,1.9,986600,580400,209100,206900
2023,2011000,1.9,996000,585000,213000,217000
