plr_id,plr_name,svb_vollzeit,medianeinkommen,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name
1100101,Stülerstraße,866,4721,1,Mitte,110,Zentrum,11001,Tiergarten Süd
1100102,Großer Tiergarten,619,6279,1,Mitte,110,Zentrum,11001,Tiergarten Süd
1100103,Lützowstraße,1250,4895,1,Mitte,110,Zentrum,11001,Tiergarten Süd
1100104,Körnerstraße,1126,5062,1,Mitte,110,Zentrum,11001,Tiergarten Süd
1100205,Wilhelmstraße,828,5384,1,Mitte,110,Zentrum,11002,Regierungsviertel
1100206,Unter den Linden,570,5076,1,Mitte,110,Zentrum,11002,Regierungsviertel
1100207,Leipziger Straße,2848,5093,1,Mitte,110,Zentrum,11002,Regierungsviertel
1100308,Charitéviertel,2446,6097,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100309,Oranienburger Straße,3359,5389,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100310,Alexanderplatz-viertel,2877,4816,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100311,Karl-Marx-Allee,1986,4062,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100312,Heine-Viertel West,2951,5097,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100313,Heine-Viertel Ost,2912,4865,1,Mitte,110,Zentrum,11003,Alexanderplatz
1100414,Nordbahnhof,2068,6264,1,Mitte,110,Zentrum,11004,Brunnenstraße Süd
1100415,Invalidenstraße,3764,5611,1,Mitte,110,Zentrum,11004,Brunnenstraße Süd
1100416,Arkonaplatz,4076,5830,1,Mitte,110,Zentrum,11004,Brunnenstraße Süd
1200517,Huttenkiez,960,3808,1,Mitte,120,Moabit,12005,Moabit West
1200518,Beusselkiez,1651,3674,1,Mitte,120,Moabit,12005,Moabit West
1200519,Emdener Straße,2274,4062,1,Mitte,120,Moabit,12005,Moabit West
1200520,Bremer Straße,2352,4211,1,Mitte,120,Moabit,12005,Moabit West
1200521,Zwinglistraße,1118,3874,1,Mitte,120,Moabit,12005,Moabit West
1200522,Elberfelder Straße,2824,4701,1,Mitte,120,Moabit,12005,Moabit West
1200623,Stephankiez,2806,4212,1,Mitte,120,Moabit,12006,Moabit Ost
1200624,Heidestraße,2607,6114,1,Mitte,120,Moabit,12006,Moabit Ost
1200625,Lübecker Straße,1422,3724,1,Mitte,120,Moabit,12006,Moabit Ost
1200626,Thomasiusstraße,1586,4554,1,Mitte,120,Moabit,12006,Moabit Ost
1200627,Zillesiedlung,525,3453,1,Mitte,120,Moabit,12006,Moabit Ost
1200628,Lüneburger Straße,947,4779,1,Mitte,120,Moabit,12006,Moabit Ost
1200629,Hansaviertel,1228,4746,1,Mitte,120,Moabit,12006,Moabit Ost
1300730,Drontheimer Straße,1362,3184,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße
1300731,Koloniestraße,1704,3349,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße
1300732,Soldiner Straße,1944,3570,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße
1300733,Gesundbrunnen,2256,3693,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße
1300834,Brunnenstraße,2670,3780,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord
1300835,Humboldthain Süd,1987,3634,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord
1300836,Humboldthain Nordwest,2905,3710,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord
1400937,Afrikanische Straße,2672,3519,1,Mitte,140,Wedding,14009,Parkviertel
1400938,Kameruner Straße,2224,3884,1,Mitte,140,Wedding,14009,Parkviertel
1400939,Glasgower Straße,1274,3781,1,Mitte,140,Wedding,14009,Parkviertel
1400940,Schillerpark,1426,3431,1,Mitte,140,Wedding,14009,Parkviertel
1400941,Londoner Straße,743,3538,1,Mitte,140,Wedding,14009,Parkviertel
1400942,Westliche Müllerstraße,1944,4018,1,Mitte,140,Wedding,14009,Parkviertel
1401043,Antonstraße,1387,3492,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401044,Uferstraße,1921,3527,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401045,Schweden-straße,1080,3383,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401046,Nordufer,2121,4050,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401047,Sparrplatz,1573,3830,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401048,Leopoldplatz,2093,3824,1,Mitte,140,Wedding,14010,Wedding Zentrum
1401049,Schulstraße,1143,3536,1,Mitte,140,Wedding,14010,Wedding Zentrum
2100101,Askanischer Platz,1539,4313,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2100102,Mehringplatz,1621,3940,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2100103,Am Berlin Museum,1048,4034,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2100104,Moritzplatz,979,3538,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2100105,Prinzenstraße,1663,3517,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2100106,Wassertorplatz,690,3622,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt
2200207,Gleisdreieck,725,6347,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200208,Rathaus Yorckstraße,1251,4549,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200209,Viktoriapark,2547,4777,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200210,Urbanstraße,2822,4557,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200211,Chamissokiez,3276,4682,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200212,Graefekiez Süd,1703,4461,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2200213,Graefekiez Nord,2091,4786,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt
2300314,Oranienplatz,1076,3688,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt
2300315,Lausitzer Platz,1274,4042,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt
2300316,Köpenicker Straße,728,4138,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt
2300417,Reichenberger Straße West,1500,4326,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt
2300418,Reichenberger Straße Ost,1609,4390,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt
2300419,Wrangelkiez,2168,4165,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt
2400520,Barnimkiez,1242,3751,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord
2400521,Friedenstraße,2595,4638,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord
2400522,Richard-Sorge-Viertel,3577,4693,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord
2400623,Andreasviertel,3496,4160,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd
2400624,Weberwiese,3352,4542,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd
2400625,Wriezener Bahnhof,649,5871,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd
2500726,Hausburgviertel,2977,4423,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord
2500727,Forckenbeckplatz,2036,4639,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord
