bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner,year,bzr_id
1,110,1100101,3406.0,161.0,176.0,28.0,422.0,1144.0,356.0,404.0,715.0,1647.0,1418.0,2021,
1,110,1100102,1816.0,80.0,99.0,27.0,172.0,692.0,222.0,268.0,256.0,822.0,903.0,2021,
1,110,1100103,5333.0,268.0,317.0,115.0,629.0,1679.0,619.0,741.0,965.0,2459.0,1940.0,2021,
1,110,1100104,4694.0,248.0,381.0,115.0,803.0,1667.0,580.0,506.0,394.0,2140.0,1835.0,2021,
1,110,1100205,2784.0,119.0,149.0,36.0,363.0,1018.0,301.0,339.0,459.0,1323.0,1344.0,2021,
1,110,1100206,1806.0,98.0,96.0,32.0,158.0,629.0,273.0,263.0,257.0,861.0,663.0,2021,
1,110,1100207,8481.0,479.0,482.0,149.0,723.0,3057.0,1007.0,990.0,1594.0,4144.0,2952.0,2021,
1,110,1100308,7113.0,422.0,442.0,98.0,676.0,3019.0,1044.0,702.0,710.0,3462.0,2306.0,2021,
1,110,1100309,12307.0,673.0,893.0,326.0,1145.0,4538.0,2148.0,1544.0,1040.0,6001.0,3330.0,2021,
1,110,1100310,10045.0,496.0,544.0,147.0,1107.0,3991.0,1236.0,1024.0,1500.0,4758.0,3634.0,2021,
1,110,1100311,9205.0,504.0,638.0,172.0,1018.0,2640.0,882.0,930.0,2421.0,4768.0,2909.0,2021,
1,110,1100312,9877.0,580.0,548.0,127.0,873.0,3766.0,1046.0,1054.0,1883.0,4806.0,3093.0,2021,
1,110,1100313,11047.0,621.0,597.0,152.0,1543.0,3958.0,1313.0,1213.0,1650.0,5424.0,3639.0,2021,
1,110,1100414,5393.0,530.0,405.0,80.0,467.0,2774.0,576.0,313.0,248.0,2640.0,2241.0,2021,
1,110,1100415,12833.0,735.0,1075.0,300.0,1234.0,5073.0,2276.0,1344.0,796.0,6390.0,3544.0,2021,
1,110,1100416,13290.0,912.0,1141.0,276.0,1020.0,5519.0,2410.0,1174.0,838.0,6612.0,3573.0,2021,
1,120,1200517,3733.0,227.0,268.0,110.0,500.0,1504.0,398.0,415.0,311.0,1701.0,1528.0,2021,
1,120,1200518,6897.0,345.0,430.0,127.0,1221.0,2733.0,730.0,692.0,619.0,3148.0,3037.0,2021,
1,120,1200519,9080.0,460.0,612.0,194.0,1267.0,3420.0,1056.0,969.0,1102.0,4240.0,3369.0,2021,
1,120,1200520,9421.0,492.0,562.0,166.0,1230.0,3471.0,1070.0,1226.0,1204.0,4446.0,2766.0,2021,
1,120,1200521,5192.0,287.0,378.0,133.0,785.0,1850.0,619.0,573.0,567.0,2347.0,1951.0,2021,
1,120,1200522,11351.0,557.0,667.0,229.0,1238.0,3483.0,1393.0,1681.0,2103.0,5759.0,2307.0,2021,
1,120,1200623,10766.0,590.0,737.0,193.0,1525.0,4309.0,1250.0,1139.0,1023.0,5065.0,3385.0,2021,
1,120,1200624,6111.0,489.0,375.0,76.0,810.0,3307.0,497.0,297.0,260.0,2853.0,2985.0,2021,
1,120,1200625,6877.0,402.0,598.0,200.0,887.0,2203.0,833.0,713.0,1041.0,3357.0,2331.0,2021,
1,120,1200626,5840.0,288.0,359.0,99.0,608.0,1962.0,761.0,745.0,1018.0,2861.0,1518.0,2021,
1,120,1200627,3219.0,228.0,354.0,127.0,382.0,882.0,343.0,365.0,538.0,1591.0,1049.0,2021,
1,120,1200628,3252.0,174.0,170.0,72.0,311.0,1177.0,457.0,414.0,477.0,1523.0,770.0,2021,
1,120,1200629,5926.0,225.0,244.0,81.0,981.0,1801.0,622.0,702.0,1270.0,2876.0,2029.0,2021,
1,130,1300730,7917.0,560.0,834.0,261.0,1209.0,2589.0,929.0,773.0,762.0,3723.0,3722.0,2021,
1,130,1300731,8558.0,563.0,752.0,242.0,1215.0,2913.0,998.0,903.0,972.0,4102.0,3235.0,2021,
