bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
01,0110,01100101,3406.0,161,176,28,422,1144,356,404,715,1647,1418
01,0110,01100102,1816.0,80,99,27,172,692,222,268,256,822,903
01,0110,01100103,5333.0,268,317,115,629,1679,619,741,965,2459,1940
01,0110,01100104,4694.0,248,381,115,803,1667,580,506,394,2140,1835
01,0110,01100205,2784.0,119,149,36,363,1018,301,339,459,1323,1344
01,0110,01100206,1806.0,98,96,32,158,629,273,263,257,861,663
01,0110,01100207,8481.0,479,482,149,723,3057,1007,990,1594,4144,2952
01,0110,01100308,7113.0,422,442,98,676,3019,1044,702,710,3462,2306
01,0110,01100309,12307.0,673,893,326,1145,4538,2148,1544,1040,6001,3330
01,0110,01100310,10045.0,496,544,147,1107,3991,1236,1024,1500,4758,3634
01,0110,01100311,9205.0,504,638,172,1018,2640,882,930,2421,4768,2909
01,0110,01100312,9877.0,580,548,127,873,3766,1046,1054,1883,4806,3093
01,0110,01100313,11047.0,621,597,152,1543,3958,1313,1213,1650,5424,3639
01,0110,01100414,5393.0,530,405,80,467,2774,576,313,248,2640,2241
01,0110,01100415,12833.0,735,1075,300,1234,5073,2276,1344,796,6390,3544
01,0110,01100416,13290.0,912,1141,276,1020,5519,2410,1174,838,6612,3573
01,0120,01200517,3733.0,227,268,110,500,1504,398,415,311,1701,1528
01,0120,01200518,6897.0,345,430,127,1221,2733,730,692,619,3148,3037
01,0120,01200519,9080.0,460,612,194,1267,3420,1056,969,1102,4240,3369
01,0120,01200520,9421.0,492,562,166,1230,3471,1070,1226,1204,4446,2766
01,0120,01200521,5192.0,287,378,133,785,1850,619,573,567,2347,1951
01,0120,01200522,11351.0,557,667,229,1238,3483,1393,1681,2103,5759,2307
01,0120,01200623,10766.0,590,737,193,1525,4309,1250,1139,1023,5065,3385
01,0120,01200624,6111.0,489,375,76,810,3307,497,297,260,2853,2985
01,0120,01200625,6877.0,402,598,200,887,2203,833,713,1041,3357,2331
01,0120,01200626,5840.0,288,359,99,608,1962,761,745,1018,2861,1518
01,0120,01200627,3219.0,228,354,127,382,882,343,365,538,1591,1049
01,0120,01200628,3252.0,174,170,72,311,1177,457,414,477,1523,770
01,0120,01200629,5926.0,225,244,81,981,1801,622,702,1270,2876,2029
01,0130,01300730,7917.0,560,834,261,1209,2589,929,773,762,3723,3722
01,0130,01300731,8558.0,563,752,242,1215,2913,998,903,972,4102,3235
01,0130,01300732,9758.0,711,922,307,1309,3428,1158,949,974,4702,3888
01,0130,01300733,11486.0,691,1052,310,1550,4052,1421,1146,1264,5536,4382
01,0130,01300834,14323.0,1104,1630,510,1728,4400,1703,1482,1766,7170,4422
01,0130,01300835,10590.0,646,965,272,1538,2984,1201,1235,1749,5343,3330
01,0130,01300836,14727.0,907,1286,442,2255,5210,1768,1397,1462,6914,5888
01,0140,01400937,10614.0,575,679,230,1159,3364,1300,1474,1833,5197,3159
01,0140,01400938,9666.0,516,656,223,1196,3643,1054,1060,1318,4616,3291
01,0140,01400939,5952.0,375,385,112,754,2206,679,661,780,2915,2196
01,0140,01400940,6773.0,440,486,124,599,1765,790,950,1619,3608,1148
01,0140,01400941,3783.0,199,212,63,342,907,398,472,1190,1993,972
01,0140,01400942,8662.0,475,516,176,1351,3321,1011,974,838,4223,3214
01,0140,01401043,7671.0,422,635,253,1216,2401,935,856,953,3680,3157
01,0140,01401044,10110.0,659,897,262,1342,3843,1189,969,949,4772,4449
01,0140,01401045,5539.0,370,532,169,840,1979,666,532,451,2613,2468
01,0140,01401046,8737.0,493,482,150,1287,3664,953,941,767,4084,2789
01,0140,01401047,7829.0,435,540,179,1468,3221,815,629,542,3606,3942
01,0140,01401048,9263.0,459,612,206,1464,3603,1055,998,866,4350,3608
01,0140,01401049,6639.0,370,495,155,716,2160,751,773,1219,3265,2733
02,0210,02100101,6216.0,366,512,171,811,2324,790,656,586,2910,2532
02,0210,02100102,8637.0,545,837,305,1198,2629,1063,927,1133,4257,3071
02,0210,02100103,5379.0,363,527,179,619,1719,694,628,650,2689,1685
02,0210,02100104,5627.0,357,544,182,743,1625,793,708,675,2784,2121
02,0210,02100105,9495.0,572,909,298,1149,2897,1267,1097,1306,4739,3280
02,0210,02100106,4993.0,254,484,175,613,1468,685,663,651,2471,1622
02,0220,02200207,2242.0,198,223,36,132,902,211,214,326,1114,532
02,0220,02200208,5853.0,324,455,174,626,1957,787,814,716,2855,1643
02,0220,02200209,10845.0,714,815,213,890,4008,1583,1376,1246,5298,2680
02,0220,02200210,12225.0,702,808,249,1199,4587,1696,1644,1340,5928,3342
02,0220,02200211,14689.0,818,895,312,1461,4907,2162,2328,1806,7297,3676
02,0220,02200212,8537.0,547,755,224,832,2955,1206,1121,897,4242,2307
02,0220,02200213,10142.0,535,708,202,866,3959,1429,1299,1144,5042,2966
02,0230,02300314,7479.0,336,533,204,740,2454,1178,1076,958,3507,2738
02,0230,02300315,8530.0,450,667,236,916,2888,1283,1171,919,4124,2892
02,0230,02300316,4215.0,194,290,86,368,1508,612,582,575,2048,1248
02,0230,02300417,8242.0,417,647,188,800,3192,1184,948,866,3934,2811
02,0230,02300418,7653.0,406,516,137,650,2969,1215,967,793,3699,2282
02,0230,02300419,10710.0,574,654,213,1097,4345,1580,1272,975,5107,3580
02,0240,02400520,5673.0,317,387,119,458,1417,577,745,1653,2945,1209
02,0240,02400521,7867.0,488,529,136,738,3079,842,790,1265,3990,1740
02,0240,02400522,11223.0,772,747,164,882,4899,1430,996,1333,5616,2203
02,0240,02400623,13383.0,877,846,247,1535,4807,1307,1267,2497,6712,4199
02,0240,02400624,11459.0,553,679,182,1439,4750,1486,1091,1279,5400,2947
02,0240,02400625,1093.0,43,98,33,130,635,73,55,26,497,653
02,0250,02500726,9247.0,557,577,140,874,4804,1111,685,499,4348,2471
02,0250,02500727,6586.0,447,430,110,605,3141,839,513,501,3177,1683
02,0250,02500728,10036.0,675,708,191,886,5059,1405,711,401,4885,2394
02,0250,02500729,5444.0,401,442,85,467,2601,727,402,319,2609,1233
02,0250,02500830,3914.0,234,217,59,402,1929,542,295,236,1885,1105
02,0250,02500831,7841.0,474,544,97,779,3907,996,632,412,3770,2175
02,0250,02500832,9115.0,715,645,160,851,4906,1011,505,322,4320,2786
02,0250,02500833,10186.0,606,484,113,989,5651,1300,704,339,4833,2971
02,0250,02500834,11444.0,760,822,174,1168,5624,1667,761,468,5442,2848
02,0250,02500835,7931.0,501,485,76,863,4092,835,543,536,3709,2330
02,0250,02500836,4863.0,470,499,98,242,1790,742,471,551,2405,540
03,0310,03100101,4592.0,377,449,85,343,1390,615,604,729,2174,520
03,0310,03100102,3180.0,216,230,73,272,904,323,391,771,1622,669
03,0310,03100103,8856.0,602,841,251,749,2074,916,1051,2372,4670,1204
03,0320,03200204,2113.0,94,207,47,119,365,323,395,563,1035,105
03,0320,03200205,8751.0,485,809,251,862,1941,1386,1325,1692,4578,827
03,0320,03200206,6406.0,408,672,200,572,1585,1058,845,1066,3280,858
03,0320,03200207,11427.0,708,1239,336,788,2900,1804,1682,1970,5837,1162
03,0320,03200308,5193.0,278,554,148,385,1135,797,943,953,2643,297
