bez_id,pgr_id,bzr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
01,0110,1,01100101,3580,165,203,49,466,1219,385,376,717,1711,1581
01,0110,1,01100102,2034,91,105,27,204,799,242,304,262,921,1093
01,0110,1,01100103,5790,287,374,123,632,1943,654,679,1098,2717,2202
01,0110,1,01100104,4889,255,355,129,686,1830,628,557,449,2302,1960
01,0110,2,01100205,2917,112,161,49,361,1130,303,310,491,1372,1528
01,0110,2,01100206,1876,85,112,41,201,658,256,274,249,903,674
01,0110,2,01100207,8844,452,582,134,729,3301,974,1030,1642,4371,3257
01,0110,3,01100308,7297,366,470,123,664,3088,1061,784,741,3569,2502
01,0110,3,01100309,12651,593,865,340,1248,4485,2075,1830,1215,6200,3660
01,0110,3,01100310,10181,464,595,166,1082,4039,1230,1120,1485,4804,3877
01,0110,3,01100311,9787,457,742,210,1246,2950,940,965,2277,5035,3455
01,0110,3,01100312,10727,591,676,175,995,4128,1166,1142,1854,5280,3784
01,0110,3,01100313,11590,572,750,163,1617,4136,1323,1271,1758,5704,4184
01,0110,4,01100414,5513,452,465,102,459,2785,624,360,266,2681,2422
01,0110,4,01100415,13348,647,1005,378,1446,5076,2140,1709,947,6629,4163
01,0110,4,01100416,13523,752,1068,364,1110,5307,2385,1543,994,6766,3932
01,0120,5,01200517,3924,173,285,94,595,1592,429,376,380,1753,1767
01,0120,5,01200518,7096,402,418,127,1159,2879,730,704,677,3304,3270
01,0120,5,01200519,9592,434,610,220,1243,3913,1035,998,1139,4466,3831
01,0120,5,01200520,9513,418,574,190,1174,3635,1071,1169,1282,4542,2989
01,0120,5,01200521,5259,253,386,131,708,1992,573,576,640,2414,2126
01,0120,5,01200522,11521,521,681,234,1218,3652,1312,1643,2260,5838,2623
01,0120,6,01200623,10990,547,731,247,1346,4534,1269,1182,1134,5204,3731
01,0120,6,01200624,6942,596,463,94,853,3720,574,384,258,3253,3593
01,0120,6,01200625,6905,324,598,215,862,2311,807,766,1022,3404,2441
01,0120,6,01200626,6079,255,376,111,601,2183,706,780,1067,2987,1772
01,0120,6,01200627,3388,210,412,121,427,892,405,390,531,1684,1195
01,0120,6,01200628,3281,178,188,61,320,1132,406,506,490,1577,886
01,0120,6,01200629,6039,193,267,81,972,1978,576,735,1237,2931,2118
01,0130,7,01300730,8060,476,803,291,1230,2662,974,771,853,3741,3968
01,0130,7,01300731,8922,495,748,268,1269,3176,979,974,1013,4232,3745
01,0130,7,01300732,10078,642,935,289,1329,3628,1201,1033,1021,4875,4075
01,0130,7,01300733,11684,586,1044,376,1548,4087,1499,1239,1305,5653,4642
01,0130,8,01300834,14258,898,1631,555,1691,4287,1800,1591,1805,7162,4465
01,0130,8,01300835,10821,535,941,301,1737,3027,1243,1228,1809,5510,3641
01,0130,8,01300836,14947,791,1299,439,2206,5362,1870,1482,1498,7073,6364
01,0140,9,01400937,10966,518,705,250,1293,3673,1243,1487,1797,5348,3760
01,0140,9,01400938,9681,454,629,203,1201,3741,1068,1055,1330,4604,3452
01,0140,9,01400939,6149,335,450,134,799,2340,660,645,786,3001,2529
01,0140,9,01400940,7094,497,577,145,634,1938,699,1001,1603,3717,1417
01,0140,9,01400941,3863,184,235,60,395,1003,355,472,1159,2042,1110
