bez,total,under_1500,1500–2000,2 000–3 000,3 000–4 000,over_4000
1,221000,50000,27000,49000,30000,65000
2,163000,33000,23000,38000,26000,43000
3,221000,38000,24000,54000,35000,70000
4,180000,37000,22000,39000,30000,52000
5,122000,24000,19000,28000,21000,30000
6,155000,29000,17000,34000,23000,50000
7,183000,40000,24000,44000,29000,46000
8,170000,47000,23000,40000,24000,36000
9,150000,30000,20000,38000,22000,41000
10,153000,32000,26000,40000,26000,29000
11,166000,43000,26000,43000,26000,29000
12,127000,25000,18000,30000,19000,35000
