bez_id,bez_name,pgr_id,pgr_name,angebotsmieten_2022 ,anteil_sozialwohng_2022 ,anteil_staedt_wohnges_2022,entwicklung_2017_2022 ,aenderung_anteil_leistungs,anteil_leistungsempfaenger ,wohnungsumwandlungen1722,wohnungsumwandlungen ,wohnungsverkaeufe1722 ,wohnungsverkaeufe ,wohndauer 
01,Mitte,0110,Zentrum,19.52,1.51,16.79,8.97,-1.38,6.9,77.35,6.12,46.96,6.24,56.45
01,Mitte,0120,Moabit,15.98,7.19,5.22,7.42,-5.16,13.62,113.32,22.75,52.7,7.81,58.46
01,Mitte,0130,Gesundbrunnen,10.7,19.82,20.54,2.65,-6.59,26.78,64.94,9.76,25.86,3.76,63.88
01,Mitte,0140,Wedding,11.42,7.25,15.64,-0.78,-5.97,20.78,90.14,24.62,39.17,5.53,62.27
02,Friedrichshain_Kreuzberg,0210,Kreuzberg Nord,9.64,24.02,37.06,2.43,-6.03,27.9,54.44,11.26,18.53,2.9,66.24
02,Friedrichshain_Kreuzberg,0220,Kreuzberg Süd,15.82,7.16,6.53,0.53,-2.93,10.44,105.16,6.71,48.88,6.57,64.59
02,Friedrichshain_Kreuzberg,0230,Kreuzberg Ost,13.63,4.0,10.82,-3.99,-5.12,16.04,85.13,12.59,37.07,6.19,68.49
02,Friedrichshain_Kreuzberg,0240,Friedrichshain West,14.61,1.23,37.54,8.09,-2.61,9.51,87.38,2.85,55.13,5.46,58.1
02,Friedrichshain_Kreuzberg,0250,Friedrichshain Ost,15.81,4.95,8.72,7.26,-2.31,8.28,138.22,16.22,77.32,11.96,54.15
03,Pankow,0310,Buch,7.85,0.18,45.02,6.75,-1.96,13.81,2.82,1.27,4.29,0.46,62.14
03,Pankow,0320,Nördliches Pankow,11.61,9.07,3.77,3.09,-0.67,5.08,55.29,3.95,17.53,2.6,70.71
03,Pankow,0330,Nördliches Weißensee,11.61,0.68,7.48,4.64,0.65,6.65,10.33,1.12,0.57,0.18,70.79
03,Pankow,0340,Südliches Pankow,12.94,1.67,20.4,6.04,-1.32,6.13,58.37,13.48,28.76,4.19,66.46
03,Pankow,0350,Südliches Weißensee,13.42,1.62,21.06,6.39,-2.63,8.14,60.76,22.87,19.02,3.29,62.98
03,Pankow,0360,Nördlicher Prenzlauer Berg,13.74,0.67,15.35,3.94,-1.16,7.55,85.91,14.7,52.89,8.55,62.04
03,Pankow,0370,Südlicher Prenzlauer Berg,15.98,1.78,12.76,2.51,-1.15,5.11,102.81,17.24,54.17,7.48,63.65
04,Charlottenburg-Wilmersdorf,0410,Charlottenburg Nord,6.79,12.1,47.13,-0.52,-5.1,20.13,0.0,0.0,13.96,1.57,70.99
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,11.87,2.02,3.57,-1.77,0.23,5.87,32.48,1.53,55.51,7.37,65.84
04,Charlottenburg-Wilmersdorf,0430,Charlottenburg Zentrum,14.4,4.77,8.68,0.14,-2.53,8.94,130.01,13.61,66.12,10.3,62.9
04,Charlottenburg-Wilmersdorf,0440,Wilmersdorf Süd,16.18,7.07,9.52,3.92,0.35,5.93,41.64,2.42,52.95,6.74,66.59
04,Charlottenburg-Wilmersdorf,0450,Wilmersdorf Zentrum,16.49,4.03,3.42,0.82,-0.41,7.46,127.32,10.03,67.24,10.52,63.63
05,Spandau,0510,Spandau Mitte / Nord,9.32,5.35,16.09,6.52,-3.56,17.81,21.03,1.65,25.64,3.58,63.68
05,Spandau,0520,Wilhelmstadt / Staaken,8.12,7.73,20.0,1.27,-2.6,17.55,21.26,3.57,25.2,3.09,68.79
05,Spandau,0530,Haselhorst / Siemensstadt,8.75,10.29,40.41,13.76,-2.44,17.4,26.13,1.86,29.62,3.05,62.26
05,Spandau,0540,Gatow / Kladow,8.67,6.36,1.77,1.16,-0.39,2.98,12.76,4.88,10.38,1.36,73.97
06,Steglitz-Zehlendorf,0610,Steglitz,13.14,1.96,1.66,1.5,-1.51,6.3,73.08,12.97,57.01,7.99,67.99
06,Steglitz-Zehlendorf,0620,Lankwitz/Lichterfelde Ost,9.47,6.84,13.2,2.07,-1.5,8.18,38.98,12.11,27.68,4.5,68.77
06,Steglitz-Zehlendorf,0630,Zehlendorf Süd/Lichterfelde West,12.41,2.82,3.0,0.89,-0.27,4.98,36.77,5.56,36.07,5.04,69.49
06,Steglitz-Zehlendorf,0640,Zehlendorf Nord/Wannsee,13.36,3.35,2.07,0.68,0.67,3.09,24.98,3.76,23.19,3.7,69.75
07,Tempelhof-Schöneberg,0710,Schöneberg-Nord,12.09,10.27,18.63,-0.35,-3.49,13.26,67.61,11.45,46.16,7.24,66.14
07,Tempelhof-Schöneberg,0720,Schöneberg Süd,13.22,4.41,9.63,2.96,-1.96,10.03,99.69,14.17,53.84,7.53,64.84
07,Tempelhof-Schöneberg,0730,Friedenau,13.86,2.01,2.9,0.69,-1.1,7.05,82.48,13.61,64.24,11.62,69.69
07,Tempelhof-Schöneberg,0740,Tempelhof,11.42,3.47,12.69,2.3,-1.97,13.41,37.39,13.69,35.84,4.99,65.49
07,Tempelhof-Schöneberg,0750,Mariendorf,8.68,11.95,11.11,1.25,-1.91,12.17,24.45,1.35,33.22,5.22,67.7
07,Tempelhof-Schöneberg,0760,Marienfelde/Lichtenrade,8.36,7.28,22.01,1.66,-1.18,12.88,17.96,1.87,18.04,2.55,71.9
08,Neukölln,0810,Neukölln,11.89,6.08,11.83,-1.54,-5.81,21.35,114.18,13.34,36.47,5.58,63.5
08,Neukölln,0820,Britz/Buckow,8.85,11.68,15.17,1.15,-2.25,15.01,29.88,1.13,18.3,2.22,70.49
